"ds";"y"
2022-11-29;"10033532.3700000"
2022-11-30;"20301840.2100000"
2022-12-01;"6024251.1500000"
2022-12-02;"4214726.6100000"
2022-12-03;"4217884.1100000"
2022-12-04;"2421940.2100000"
2022-12-05;"5363217.0500000"
2022-12-06;"8244639.7800000"
2022-12-07;"10950650.7300000"
2022-12-08;"9008792.0400000"
2022-12-09;"5902693.2500000"
2022-12-10;"6633737.2800000"
2022-12-11;"2819486.9700000"
2022-12-12;"7924547.0500000"
2022-12-13;"10053566.8500000"
2022-12-14;"11924732.2200000"
2022-12-15;"11296054.6500000"
2022-12-16;"7326242.8400000"
2022-12-17;"7411344.9400000"
2022-12-18;"3057623.1100000"
2022-12-19;"9956175.8600000"
2022-12-20;"10587365.6800000"
2022-12-21;"13517024.9400000"
2022-12-22;"10815153.0500000"
2022-12-23;"7264247.4200000"
2022-12-24;"4938385.4700000"
2022-12-25;"2256078.8400000"
2022-12-26;"8707816.2700000"
2022-12-27;"10733923.2400000"
2022-12-28;"12657737.1100000"
2022-12-29;"11323190.8300000"
2022-12-30;"9646006.5900000"
2022-12-31;"6338817.8000000"
2023-01-01;"381086.5000000"
2023-01-02;"3225628.7700000"
2023-01-03;"5647730.0200000"
2023-01-04;"7428045.2900000"
2023-01-05;"7825932.6800000"
2023-01-06;"3834633.9500000"
2023-01-07;"5948300.0300000"
2023-01-08;"2121619.6600000"
2023-01-09;"5615367.4700000"
2023-01-10;"8605937.4700000"
2023-01-11;"10639586.3800000"
2023-01-12;"9178342.1300000"
2023-01-13;"4974083.9800000"
2023-01-14;"6075385.9500000"
2023-01-15;"2644291.5100000"
2023-01-16;"5780947.6900000"
2023-01-17;"9313119.3100000"
2023-01-18;"9720909.0300000"
2023-01-19;"10825287.1100000"
2023-01-20;"7667511.8100000"
2023-01-21;"5665104.1200000"
2023-01-22;"3183132.9300000"
2023-01-23;"8890242.4600000"
2023-01-24;"9175431.1100000"
2023-01-25;"10458269.4000000"
2023-01-26;"11320872.7000000"
2023-01-27;"6955032.8100000"
2023-01-28;"7140727.1800000"
2023-01-29;"1938357.6800000"
2023-01-30;"11009522.8200000"
2023-01-31;"17581153.9600000"
2023-02-01;"7501925.3500000"
2023-02-02;"8334955.8800000"
2023-02-03;"5207766.8500000"
2023-02-04;"5147278.0300000"
2023-02-05;"2831630.9600000"
2023-02-06;"7176453.8900000"
2023-02-07;"9617151.8900000"
2023-02-08;"10265016.2500000"
2023-02-09;"10936303.9200000"
2023-02-10;"5959145.8700000"
2023-02-11;"6850898.2200000"
2023-02-12;"2886750.4500000"
2023-02-13;"8956570.0900000"
2023-02-14;"9480807.3900000"
2023-02-15;"11860418.6800000"
2023-02-16;"10947821.1500000"
2023-02-17;"6821918.5100000"
2023-02-18;"2814543.0800000"
2023-02-19;"1438297.2200000"
2023-02-20;"4145281.2100000"
2023-02-21;"6377071.9800000"
2023-02-22;"8673506.5900000"
2023-02-23;"8165273.3000000"
2023-02-24;"4975183.0300000"
2023-02-25;"6561463.2600000"
2023-02-26;"2352838.8600000"
2023-02-27;"9140855.4700000"
2023-02-28;"17950658.2500000"
2023-03-01;"5604944.2400000"
